id;nome;cpf_cnpj;telefone;telefone2;email;endereco;cidade;uf;cep;origem_legado_mdb;total_os;total_dispositivos;criado_em;suspeito_dado_real
36cc12e5-122b-4974-bdeb-173d01ca75e6;AMANDA CASTRO;;(16)99178-4774;;;"Endereço não informado, Centro, Ribeirão Preto - SP";Ribeirão Preto;SP;;SIM;0;2;2024-07-23;SIM - REVISAR
387c29a0-c0cb-450e-babd-7c9f96a6f1aa;ANA LAURA R. DELIA MARTINS;233.149.368-50;(16)99120-7187;(19)99174-7802;;"Endereço não informado, Centro, Ribeirão Preto - SP";Ribeirão Preto;SP;;SIM;2;2;2024-06-11;SIM - REVISAR
de7b0bd1-45eb-461f-b4f0-f61be0433dfc;BRENO NEVES SENSINI;395.823.988-92;(16)99785-5084;;;"Endereço não informado, Centro, Ribeirão Preto - SP";Ribeirão Preto;SP;;SIM;0;0;2023-03-01;NAO
8a818e47-dbeb-4de9-b875-7ac733d40a8a;CASSIA APARECIDA DA SILVA;214.423.188-56;;;;"Endereço não informado, Centro, Ribeirão Preto - SP";Ribeirão Preto;SP;;SIM;0;0;2024-06-05;NAO
c3c7f472-2c65-4c3d-8f91-32f30953bbdf;Cliente de Teste Audit;12803820207;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
99c55f3d-7ee4-4df0-9a6e-32c970bb3ed1;Cliente de Teste Audit;51199928867;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
9e60bc9c-903d-46a6-b10d-c8b4c5337dd0;Cliente de Teste Audit;72940892564;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
a2d7ec68-bd49-4c09-894b-8d22e3a83674;Cliente de Teste Audit;48088389165;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
e3426f90-9b1e-4e57-a31f-288760ef708b;Cliente de Teste Audit;11649992930;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
a74d5a5c-9e6a-415a-b039-e5229da108a7;Cliente de Teste Audit;35768426683;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
abe78230-6ae1-4fc5-aace-51cf5a17f4f3;Cliente de Teste Audit;27890186539;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
fd58dc21-ce77-45c3-8f52-2f62e192264a;Cliente de Teste Audit;28746112699;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
fab22b45-05bf-41ed-b7d5-aaa57763499b;Cliente de Teste Audit;92455597091;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
0707d6b6-5475-439f-8b60-2f7060c34c40;Cliente de Teste Audit;17365686346;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
2ab8c81d-fa75-414b-8653-ae5ba70fc8c0;Cliente de Teste Audit;29372734583;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
4838e02f-dec6-4af4-a361-0576b50274a3;Cliente de Teste Audit;36644010260;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
72a6ad6e-3dd5-4e3c-a80d-2f5ec1ee09c3;Cliente de Teste Audit;91958911458;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
d1098367-a7e4-4cbd-8c37-538a1011c2dc;Cliente de Teste Audit;55331847475;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
f4e912b3-7d3c-4c6b-921d-cab387579057;Cliente de Teste Audit;50802790225;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
e77bc536-da8e-49f2-88a0-dae09e5aa90c;Cliente de Teste Audit;63376364311;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
dd6cbbb6-9a8d-4609-acac-a3a85a170d6c;Cliente de Teste Audit;56616154469;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
7c453e8c-6721-46ff-8bb5-19aa7af174d9;Cliente de Teste Audit;98168562641;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
78e915c9-14ab-48b1-bbb7-cb43c95881ba;Cliente de Teste Audit;24491776554;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
fdbdd28f-6e65-45b7-af56-40f1d702db53;Cliente de Teste Audit;38474807760;(11) 99999-9999;;cliente_audit@teste.com;"Rua das Flores, 123 - SP";;SP;;NAO;0;0;;NAO
